galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
5000060000000,5000060000213,-1,5000060000000,63000500000279,63000500000279,5000060000000,5000060000001,-1,0,63,0.0,780.4435,21885,51.850475,55.070663,34.961464,242789,5,6,3,-84.42471,203.3489,-128.08525,10498,780.4435,0.3225722,322.57242,310.62503,0.026793057,6.888247,6.888247,108.8883,1.1180646E-4,0.012534879,8.7405223E-4,0.10362227,0.10362227,0.782824,4.475728E-7,0.0,0.0,0.0,0.043174796,0.057565846,-20.289097,-21.204103,-21.946804,-22.5921,-24.196579,-20.289097,-21.204103,-21.946804,-22.5921,-24.196579,-20.289097,-21.204103,-21.946804,-22.5921,-24.196579,11.142198,640
5000060000001,5000060000213,5000060000000,5000060000001,62000500000314,62000500000314,5000060000000,5000060000002,-1,0,62,0.019932542,807.3821,21885,51.87111,55.034355,34.985207,242789,5,6,3,-88.11091,208.42198,-132.00761,10218,807.3821,0.32460004,327.0659,322.9346,0.026793057,6.888247,6.888247,113.066635,1.2338685E-4,0.012512214,8.7405223E-4,0.10362227,0.10362227,0.7787151,4.939304E-7,0.0,0.0,0.0,0.043534648,0.05629771,-20.326387,-21.236166,-21.975529,-22.617828,-24.220066,-20.326387,-21.236166,-21.975529,-22.617828,-24.220066,-20.326387,-21.236166,-21.975529,-22.617828,-24.220066,10.878767,487
5000060000002,5000060000213,5000060000001,5000060000002,61000500000266,61000500000266,5000060000000,5000060000003,-1,0,61,0.041403063,837.6772,21885,51.896503,54.99187,35.00681,242789,5,6,3,-93.05524,219.66246,-135.08519,9816,837.6772,0.3267851,332.0299,331.0004,0.026793057,6.888247,6.888247,117.30569,1.369103E-4,0.012487428,8.7405223E-4,0.10362227,0.10362227,0.77183497,5.480661E-7,0.0,0.0,0.0,0.04240971,0.054910157,-20.371006,-21.270166,-22.004349,-22.643248,-24.242592,-20.371006,-21.270166,-22.004349,-22.643248,-24.242592,-20.371006,-21.270166,-22.004349,-22.643248,-24.242592,10.60291,343
5000060000003,5000060000213,5000060000002,5000060000003,60000500000285,60000500000285,5000060000000,5000060000004,-1,0,60,0.064493395,852.2223,21885,51.921074,54.93314,35.03024,242789,5,6,3,-100.7709,228.60579,-139.63132,9300,852.2223,0.3266529,334.96786,337.0092,0.026793057,6.888247,6.888247,127.10159,1.5274592E-4,0.012458163,8.7405223E-4,0.10362227,0.10362227,0.591915,6.114577E-7,0.0,0.0,0.0,0.038300205,0.052157123,-20.439983,-21.316528,-22.040932,-22.674368,-24.26702,-20.439983,-21.316528,-22.040932,-22.674368,-24.26702,-20.439983,-21.316528,-22.040932,-22.674368,-24.26702,10.315055,320
5000060000004,5000060000213,5000060000003,5000060000004,59000500000275,59000500000275,5000060000000,5000060000005,-1,0,59,0.08928783,838.8821,21885,51.97006,54.857803,35.06478,242789,5,6,3,-100.64598,224.81433,-141.91313,9472,838.8821,0.322748,334.34024,361.3478,0.026793057,6.888247,6.888247,124.73982,1.7134058E-4,0.012429482,8.7405223E-4,0.10362227,0.10362227,0.5880649,6.85894E-7,2.751145,2.751145,0.0,0.03814412,0.051953502,-20.587093,-21.397657,-22.098797,-22.720919,-24.298891,-20.587093,-21.397657,-22.098797,-22.720919,-24.298891,-20.587093,-21.397657,-22.098797,-22.720919,-24.298891,10.015738,207
5000060000005,5000060000137,5000060000004,5000060000005,58000500000276,58000500000276,5000060000000,5000060000006,5000060000138,0,58,0.11588337,804.5419,21885,52.042114,54.77402,35.10473,242789,5,6,3,-85.39448,218.4664,-143.88275,9491,804.5419,0.31592056,330.94464,363.89343,0.25556636,3.5869696,1.7586515,118.73028,1.9324521E-4,0.0068569584,0.007929552,0.05089215,0.016043555,0.578403,7.7358055E-7,0.0,0.0,0.0,0.041329246,0.051999662,-19.650988,-20.556692,-21.294651,-21.931805,-23.51265,-18.980442,-19.852312,-20.57292,-21.184317,-22.690514,-19.646402,-20.552773,-21.291426,-21.9294,-23.5119,10.426794,488
5000060000006,5000060000137,5000060000005,5000060000006,57000500000252,57000500000252,5000060000000,5000060000007,-1,0,57,0.14438343,732.93524,21789,52.101276,54.66277,35.171574,242131,5,6,3,-96.87581,233.77908,-161.5223,8659,732.93524,0.30375677,322.13638,312.16736,0.25556636,3.5869696,1.7586515,106.44497,2.1913492E-4,0.0068291244,0.007929552,0.05089215,0.016043555,0.5770142,8.772195E-7,0.0,0.0,0.0,0.03796874,0.05297036,-19.68423,-20.586954,-21.32273,-21.95758,-23.534817,-19.01161,-19.881,-20.599749,-21.208944,-22.71147,-19.67879,-20.582306,-21.318903,-21.954727,-23.533926,10.106209,319
5000060000007,5000060000137,5000060000006,5000060000007,56000500000253,56000500000253,5000060000000,5000060000008,-1,0,56,0.17489761,507.185,21789,52.14501,54.55305,35.243076,242131,5,6,3,-103.605934,248.2339,-175.64134,7874,507.185,0.26626733,286.21622,288.76376,0.25556636,3.5869696,1.7586515,68.0274,2.4983863E-4,0.0068074237,0.007929552,0.05089215,0.016043555,0.5750004,1.0001295E-6,0.0,0.0,0.0,0.04413205,0.061511643,-19.719275,-20.618526,-21.35184,-21.984144,-23.557617,-19.044348,-19.910795,-20.627386,-21.234144,-22.733074,-19.715233,-20.615078,-21.349,-21.982027,-23.556957,9.775986,220
5000060000008,5000060000137,5000060000007,5000060000008,55000500000256,55000500000256,5000060000000,5000060000009,-1,0,55,0.20754863,397.19308,21789,52.17999,54.43923,35.31949,242131,5,6,3,-100.766594,248.39531,-187.40169,7246,397.19308,0.2430188,265.12512,283.49796,0.25556636,3.5869696,1.7586515,49.241287,2.8638457E-4,0.0067912,0.007929552,0.05089215,0.016043555,0.57267785,1.1464263E-6,0.0,0.0,0.0,0.039051287,0.071477056,-19.7564,-20.651817,-21.382488,-22.012205,-23.582075,-19.079134,-19.942305,-20.65658,-21.261002,-22.75713,-19.751228,-20.647408,-21.37886,-22.009502,-23.581232,9.436826,890
5000060000009,5000060000137,5000060000008,5000060000009,54000500000247,54000500000247,5000060000000,5000060000010,-1,0,54,0.24246909,367.7586,21789,52.220844,54.330177,35.39548,242131,5,6,3,-100.49425,250.80861,-187.88664,6951,367.7586,0.23430964,259.81027,282.49106,0.25556636,3.5869696,1.7586515,44.280457,3.3004783E-4,0.0067761424,0.007929552,0.05089215,0.016043555,0.571829,1.3212145E-6,0.0,0.0,0.0,0.039117027,0.07525054,-19.795567,-20.68676,-21.414558,-22.041563,-23.607655,-19.115902,-19.975485,-20.687252,-21.289297,-22.782955,-19.790401,-20.682356,-21.410938,-22.038866,-23.606815,9.089538,841
